"id","first_name","last_name","position","height_feet","height_inches","weight_pounds","team_id","updated_at","created_at","public_id"
78464,"Duane","Washington","",NULL,NULL,NULL,1610612746,"2019-01-12 13:36:11.943738-08","2019-01-12 13:36:11.943738-08",790
1116,"Melvin","Newbern","",NULL,NULL,NULL,1610612765,"2019-01-12 13:37:03.964264-08","2019-01-12 13:37:03.964264-08",791
76184,"Ricky","Blanton","",NULL,NULL,NULL,1610612741,"2019-01-12 13:40:09.515162-08","2019-01-12 13:40:09.515162-08",792
754,"Jim","Jackson","",NULL,NULL,NULL,1610612742,"2019-01-12 13:42:25.634064-08","2019-01-12 13:42:25.634064-08",793
78251,"Barry","Stevens","",NULL,NULL,NULL,1610612744,"2019-01-12 13:42:41.069249-08","2019-01-12 13:42:41.069249-08",794
57,"Doug","Christie","",NULL,NULL,NULL,1610612747,"2019-01-12 13:43:24.069922-08","2019-01-12 13:43:24.069922-08",795
1090,"Pat","Durham","",NULL,NULL,NULL,1610612744,"2019-01-12 13:43:52.853345-08","2019-01-12 13:43:52.853345-08",796
77208,"Thomas","Jordan","",NULL,NULL,NULL,1610612755,"2019-01-12 13:48:09.675131-08","2019-01-12 13:48:09.675131-08",797
76022,"Gary","Alexander","",NULL,NULL,NULL,1610612748,"2019-01-12 14:27:24.783352-08","2019-01-12 14:27:24.783352-08",798
358,"Anfernee","Hardaway","",NULL,NULL,NULL,1610612753,"2019-01-12 14:27:24.783352-08","2019-01-12 14:27:24.783352-08",799
700,"Keith","Tower","",NULL,NULL,NULL,1610612753,"2019-01-12 14:27:24.783352-08","2019-01-12 14:27:24.783352-08",800
43,"Chris","Whitney","",NULL,NULL,NULL,1610612759,"2019-01-12 14:27:25.792352-08","2019-01-12 14:27:25.792352-08",801
76852,"Josh","Grant","",NULL,NULL,NULL,1610612744,"2019-01-12 14:27:25.792352-08","2019-01-12 14:27:25.792352-08",802
310,"Bobby","Hurley","",NULL,NULL,NULL,1610612758,"2019-01-12 14:27:25.810481-08","2019-01-12 14:27:25.810481-08",803
46,"Mike","Peplowski","",NULL,NULL,NULL,1610612758,"2019-01-12 14:27:25.810481-08","2019-01-12 14:27:25.810481-08",804
1577,"Darnell","Mee","",NULL,NULL,NULL,1610612743,"2019-01-12 14:27:25.810481-08","2019-01-12 14:27:25.810481-08",805
915,"Rodney","Rogers","",NULL,NULL,NULL,1610612743,"2019-01-12 14:27:25.810481-08","2019-01-12 14:27:25.810481-08",806
768,"Acie","Earl","",NULL,NULL,NULL,1610612738,"2019-01-12 14:27:25.868514-08","2019-01-12 14:27:25.868514-08",807
129,"Dino","Radja","",NULL,NULL,NULL,1610612738,"2019-01-12 14:27:25.868514-08","2019-01-12 14:27:25.868514-08",808
168,"Chris","Mills","",NULL,NULL,NULL,1610612739,"2019-01-12 14:27:25.961091-08","2019-01-12 14:27:25.961091-08",809
452,"Vin","Baker","",NULL,NULL,NULL,1610612749,"2019-01-12 14:27:25.961091-08","2019-01-12 14:27:25.961091-08",810
